material_absorber,material_etl,material_htl,absorber_band_gap_eV,etl_band_gap_eV,htl_band_gap_eV,cbo_eV,vbo_eV,absorber_etl_type,absorber_htl_type,gap_method,functional,gap_type,material_class,source_doi,source_paper
CsPb0.625Zn0.375IBr2,CdS,GaAs,1.05,2.4,1.42,0.09,-0.17,Type III,Type III,SCAPS_literature_table,literature_chi_Eg,device_simulation_parameter,bulk_thin_film_device,10.1038/s41598-024-81797-x,CsPbZnIBr2 SCAPS Tables 1-2
CsPb0.625Zn0.375IBr2,CdS,ZnTe,1.05,2.4,2.25,0.09,-0.66,Type III,Type III,SCAPS_literature_table,literature_chi_Eg,device_simulation_parameter,bulk_thin_film_device,10.1038/s41598-024-81797-x,CsPbZnIBr2 SCAPS Tables 1-2
CsPb0.625Zn0.375IBr2,CdS,CNTS,1.05,2.4,1.74,0.09,-0.29,Type III,Type III,SCAPS_literature_table,literature_chi_Eg,device_simulation_parameter,bulk_thin_film_device,10.1038/s41598-024-81797-x,CsPbZnIBr2 SCAPS Tables 1-2
CsPb0.625Zn0.375IBr2,CdS,MoO3,1.05,2.4,3.0,0.09,0.02,Type III,Type I,SCAPS_literature_table,literature_chi_Eg,device_simulation_parameter,bulk_thin_film_device,10.1038/s41598-024-81797-x,CsPbZnIBr2 SCAPS Tables 1-2
CsPb0.625Zn0.375IBr2,CdS,MEH-PPV,1.05,2.4,2.1,0.09,0.42,Type III,Type I,SCAPS_literature_table,literature_chi_Eg,device_simulation_parameter,bulk_thin_film_device,10.1038/s41598-024-81797-x,CsPbZnIBr2 SCAPS Tables 1-2
CsPb0.625Zn0.375IBr2,CdS,CuAlO2,1.05,2.4,3.46,0.09,-0.64,Type III,Type III,SCAPS_literature_table,literature_chi_Eg,device_simulation_parameter,bulk_thin_film_device,10.1038/s41598-024-81797-x,CsPbZnIBr2 SCAPS Tables 1-2
CsPb0.625Zn0.375IBr2,CdS,MoS2,1.05,2.4,1.29,0.09,-0.17,Type III,Type III,SCAPS_literature_table,literature_chi_Eg,device_simulation_parameter,bulk_thin_film_device,10.1038/s41598-024-81797-x,CsPbZnIBr2 SCAPS Tables 1-2
CsPb0.625Zn0.375IBr2,CdS,Cu2Te,1.05,2.4,1.18,0.09,-0.06,Type III,Type III,SCAPS_literature_table,literature_chi_Eg,device_simulation_parameter,bulk_thin_film_device,10.1038/s41598-024-81797-x,CsPbZnIBr2 SCAPS Tables 1-2
CsPb0.625Zn0.375IBr2,CdS,Zn3P2,1.05,2.4,1.5,0.09,-0.38,Type III,Type III,SCAPS_literature_table,literature_chi_Eg,device_simulation_parameter,bulk_thin_film_device,10.1038/s41598-024-81797-x,CsPbZnIBr2 SCAPS Tables 1-2
CsPb0.625Zn0.375IBr2,PC60BM,PTAA,1.05,1.8,2.96,0.07,0.06,Type III,Type I,SCAPS_literature_table,literature_chi_Eg,device_simulation_parameter,bulk_thin_film_device,10.1038/s41598-024-81797-x,CsPbZnIBr2 SCAPS Tables 1-2
CsPb0.625Zn0.375IBr2,PC60BM,GaAs,1.05,1.8,1.42,0.07,-0.17,Type III,Type III,SCAPS_literature_table,literature_chi_Eg,device_simulation_parameter,bulk_thin_film_device,10.1038/s41598-024-81797-x,CsPbZnIBr2 SCAPS Tables 1-2
CsPb0.625Zn0.375IBr2,PC60BM,ZnTe,1.05,1.8,2.25,0.07,-0.66,Type III,Type III,SCAPS_literature_table,literature_chi_Eg,device_simulation_parameter,bulk_thin_film_device,10.1038/s41598-024-81797-x,CsPbZnIBr2 SCAPS Tables 1-2
CsPb0.625Zn0.375IBr2,PC60BM,CNTS,1.05,1.8,1.74,0.07,-0.29,Type III,Type III,SCAPS_literature_table,literature_chi_Eg,device_simulation_parameter,bulk_thin_film_device,10.1038/s41598-024-81797-x,CsPbZnIBr2 SCAPS Tables 1-2
CsPb0.625Zn0.375IBr2,PC60BM,MoO3,1.05,1.8,3.0,0.07,0.02,Type III,Type I,SCAPS_literature_table,literature_chi_Eg,device_simulation_parameter,bulk_thin_film_device,10.1038/s41598-024-81797-x,CsPbZnIBr2 SCAPS Tables 1-2
CsPb0.625Zn0.375IBr2,PC60BM,MEH-PPV,1.05,1.8,2.1,0.07,0.42,Type III,Type I,SCAPS_literature_table,literature_chi_Eg,device_simulation_parameter,bulk_thin_film_device,10.1038/s41598-024-81797-x,CsPbZnIBr2 SCAPS Tables 1-2
CsPb0.625Zn0.375IBr2,PC60BM,CuAlO2,1.05,1.8,3.46,0.07,-0.64,Type III,Type III,SCAPS_literature_table,literature_chi_Eg,device_simulation_parameter,bulk_thin_film_device,10.1038/s41598-024-81797-x,CsPbZnIBr2 SCAPS Tables 1-2
CsPb0.625Zn0.375IBr2,PC60BM,MoS2,1.05,1.8,1.29,0.07,-0.17,Type III,Type III,SCAPS_literature_table,literature_chi_Eg,device_simulation_parameter,bulk_thin_film_device,10.1038/s41598-024-81797-x,CsPbZnIBr2 SCAPS Tables 1-2
CsPb0.625Zn0.375IBr2,PC60BM,Cu2Te,1.05,1.8,1.18,0.07,-0.06,Type III,Type III,SCAPS_literature_table,literature_chi_Eg,device_simulation_parameter,bulk_thin_film_device,10.1038/s41598-024-81797-x,CsPbZnIBr2 SCAPS Tables 1-2
CsPb0.625Zn0.375IBr2,PC60BM,Zn3P2,1.05,1.8,1.5,0.07,-0.38,Type III,Type III,SCAPS_literature_table,literature_chi_Eg,device_simulation_parameter,bulk_thin_film_device,10.1038/s41598-024-81797-x,CsPbZnIBr2 SCAPS Tables 1-2
