material_absorber,absorber_band_gap_eV,phase,heat_of_formation_eV_per_atom,source_doi,source_paper
K2TlInCl6 (cubic),2.3298,cubic,-1.39383,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
K2TlSbCl6 (cubic),0.9869,cubic,-1.28924,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Rb2AgAlCl6 (cubic),2.1691,cubic,-1.493007,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Rb2AgAsCl6 (cubic),1.2166,cubic,-1.170503,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Rb2AgBiCl6 (cubic),1.5347,cubic,-1.297686,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Rb2AgGaCl6 (cubic),0.8637,cubic,-1.316696,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Rb2AgInCl6 (cubic),0.9585,cubic,-1.344579,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Rb2AgSbCl6 (cubic),1.303,cubic,-1.250614,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Rb2AuAlCl6 (cubic),0.3514,cubic,-1.352288,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Rb2AuAsCl6 (cubic),0.0121,cubic,-1.05651,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Rb2AuBiCl6 (cubic),0.4081,cubic,-1.17368,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
Rb2AuSbCl6 (cubic),0.1257,cubic,-1.132085,10.1038/s41524-019-0177-0,"Li et al. npj Comput Mater 5, 83 (2019) — DFT indirect gap"
